,Date,State/UT,Latitude,Longitude,Confirmed,Active,Deaths,Mortality rate,Cured,Recovery rate
68,2020/03/08,Rajasthan,27.0238,74.2179,1,1,0,0.0,0,0.0
69,2020/03/08,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
70,2020/03/08,Telengana,18.1124,79.0193,1,1,0,0.0,0,0.0
71,2020/03/08,Ladakh,34.2996,78.2932,2,2,0,0.0,0,0.0
72,2020/03/08,Uttar Pradesh,26.8467,80.9462,7,7,0,0.0,0,0.0
73,2020/03/09,Delhi,28.7041,77.1025,4,4,0,0.0,0,0.0
74,2020/03/09,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
75,2020/03/09,Karnataka,15.3173,75.7139,1,1,0,0.0,0,0.0
76,2020/03/09,Kerala,10.8505,76.2711,9,6,0,0.0,3,0.3333333333333333
77,2020/03/09,Maharashtra,19.7515,75.7139,2,2,0,0.0,0,0.0
78,2020/03/09,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
79,2020/03/09,Rajasthan,27.0238,74.2179,1,1,0,0.0,0,0.0
80,2020/03/09,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
81,2020/03/09,Telengana,18.1124,79.0193,1,1,0,0.0,0,0.0
82,2020/03/09,Jammu and Kashmir,33.7782,76.5762,1,1,0,0.0,0,0.0
83,2020/03/09,Ladakh,34.2996,78.2932,2,2,0,0.0,0,0.0
84,2020/03/09,Uttar Pradesh,26.8467,80.9462,7,7,0,0.0,0,0.0
85,2020/03/10,Delhi,28.7041,77.1025,4,4,0,0.0,0,0.0
86,2020/03/10,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
87,2020/03/10,Karnataka,15.3173,75.7139,4,4,0,0.0,0,0.0
88,2020/03/10,Kerala,10.8505,76.2711,15,12,0,0.0,3,0.2
89,2020/03/10,Maharashtra,19.7515,75.7139,5,5,0,0.0,0,0.0
90,2020/03/10,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
91,2020/03/10,Rajasthan,27.0238,74.2179,1,1,0,0.0,0,0.0
92,2020/03/10,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
93,2020/03/10,Telengana,18.1124,79.0193,1,1,0,0.0,0,0.0
94,2020/03/10,Jammu and Kashmir,33.7782,76.5762,1,1,0,0.0,0,0.0
95,2020/03/10,Ladakh,34.2996,78.2932,2,2,0,0.0,0,0.0
96,2020/03/10,Uttar Pradesh,26.8467,80.9462,7,7,0,0.0,0,0.0
97,2020/03/11,Delhi,28.7041,77.1025,5,5,0,0.0,0,0.0
98,2020/03/11,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
99,2020/03/11,Karnataka,15.3173,75.7139,4,4,0,0.0,0,0.0
100,2020/03/11,Kerala,10.8505,76.2711,17,14,0,0.0,3,0.17647058823529413
101,2020/03/11,Maharashtra,19.7515,75.7139,10,10,0,0.0,0,0.0
102,2020/03/11,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
103,2020/03/11,Rajasthan,27.0238,74.2179,3,3,0,0.0,0,0.0
104,2020/03/11,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
105,2020/03/11,Telengana,18.1124,79.0193,1,1,0,0.0,0,0.0
106,2020/03/11,Jammu and Kashmir,33.7782,76.5762,1,1,0,0.0,0,0.0
107,2020/03/11,Ladakh,34.2996,78.2932,2,2,0,0.0,0,0.0
108,2020/03/11,Uttar Pradesh,26.8467,80.9462,9,9,0,0.0,0,0.0
109,2020/03/12,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
110,2020/03/12,Delhi,28.7041,77.1025,6,6,0,0.0,0,0.0
111,2020/03/12,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
112,2020/03/12,Karnataka,15.3173,75.7139,4,3,1,0.25,0,0.0
113,2020/03/12,Kerala,10.8505,76.2711,17,14,0,0.0,3,0.17647058823529413
114,2020/03/12,Maharashtra,19.7515,75.7139,11,11,0,0.0,0,0.0
115,2020/03/12,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
116,2020/03/12,Rajasthan,27.0238,74.2179,3,3,0,0.0,0,0.0
117,2020/03/12,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
118,2020/03/12,Telengana,18.1124,79.0193,1,1,0,0.0,0,0.0
119,2020/03/12,Jammu and Kashmir,33.7782,76.5762,1,1,0,0.0,0,0.0
120,2020/03/12,Ladakh,34.2996,78.2932,3,3,0,0.0,0,0.0
121,2020/03/12,Uttar Pradesh,26.8467,80.9462,11,11,0,0.0,0,0.0
122,2020/03/13,Andhra Pradesh,15.9129,79.74,1,1,0,0.0,0,0.0
123,2020/03/13,Delhi,28.7041,77.1025,6,6,0,0.0,0,0.0
124,2020/03/13,Haryana,29.0588,76.0856,14,14,0,0.0,0,0.0
125,2020/03/13,Karnataka,15.3173,75.7139,5,4,1,0.2,0,0.0
126,2020/03/13,Kerala,10.8505,76.2711,17,14,0,0.0,3,0.17647058823529413
127,2020/03/13,Maharashtra,19.7515,75.7139,11,11,0,0.0,0,0.0
128,2020/03/13,Punjab,31.1471,75.3412,1,1,0,0.0,0,0.0
129,2020/03/13,Rajasthan,27.0238,74.2179,3,3,0,0.0,0,0.0
130,2020/03/13,Tamil Nadu,11.1271,78.6569,1,1,0,0.0,0,0.0
131,2020/03/13,Telengana,18.1124,79.0193,1,1,0,0.0,0,0.0
132,2020/03/13,Jammu and Kashmir,33.7782,76.5762,1,1,0,0.0,0,0.0
133,2020/03/13,Ladakh,34.2996,78.2932,3,3,0,0.0,0,0.0
